coleta,umid,temp
13/08/2020 08:54:43,68.0,21.0
13/08/2020 08:54:51,69.0,21.0
13/08/2020 08:55:06,74.0,21.0
13/08/2020 08:55:12,74.0,21.0
13/08/2020 08:55:17,68.0,21.0
13/08/2020 08:55:25,68.0,21.0
13/08/2020 08:55:31,74.0,21.0
13/08/2020 08:55:36,68.0,21.0
13/08/2020 08:55:45,68.0,21.0
13/08/2020 08:55:50,74.0,21.0
13/08/2020 08:55:56,68.0,21.0
13/08/2020 08:56:04,68.0,21.0
13/08/2020 08:56:09,74.0,21.0
13/08/2020 08:56:15,68.0,21.0
13/08/2020 08:56:20,69.0,21.0
13/08/2020 08:56:26,68.0,21.0
13/08/2020 08:56:34,68.0,21.0
13/08/2020 08:56:39,74.0,21.0
13/08/2020 08:56:45,68.0,21.0
13/08/2020 08:56:50,68.0,21.0
13/08/2020 08:56:56,68.0,21.0
13/08/2020 08:57:01,68.0,21.0
13/08/2020 08:57:07,68.0,21.0
13/08/2020 08:57:13,68.0,21.0
13/08/2020 08:57:18,68.0,21.0
13/08/2020 08:57:24,68.0,21.0
13/08/2020 08:57:29,68.0,21.0
13/08/2020 08:57:35,68.0,21.0
13/08/2020 08:57:40,69.0,21.0
13/08/2020 08:57:46,68.0,21.0
13/08/2020 08:57:51,68.0,21.0
13/08/2020 08:57:57,69.0,21.0
13/08/2020 08:58:02,68.0,21.0
13/08/2020 08:58:08,68.0,21.0
13/08/2020 08:58:13,68.0,21.0
13/08/2020 08:58:19,68.0,21.0
13/08/2020 08:58:24,68.0,21.0
13/08/2020 08:58:30,68.0,21.0
13/08/2020 08:58:38,68.0,21.0
13/08/2020 08:58:44,74.0,21.0
13/08/2020 08:58:49,68.0,21.0
13/08/2020 08:58:57,68.0,21.0
13/08/2020 08:59:03,74.0,21.0
13/08/2020 08:59:08,68.0,21.0
13/08/2020 08:59:14,68.0,21.0
13/08/2020 08:59:19,68.0,21.0
13/08/2020 08:59:25,68.0,21.0
13/08/2020 08:59:30,68.0,21.0
13/08/2020 08:59:36,68.0,21.0
13/08/2020 08:59:41,68.0,21.0
13/08/2020 08:59:47,68.0,21.0
13/08/2020 08:59:55,68.0,21.0
13/08/2020 09:00:01,74.0,21.0
13/08/2020 09:00:06,68.0,21.0
13/08/2020 09:00:12,68.0,21.0
13/08/2020 09:00:17,68.0,21.0
13/08/2020 09:00:23,68.0,21.0
13/08/2020 09:00:28,69.0,21.0
13/08/2020 09:00:34,69.0,21.0
13/08/2020 09:00:39,69.0,21.0
13/08/2020 09:00:45,69.0,21.0
13/08/2020 09:00:50,69.0,21.0
13/08/2020 09:00:56,69.0,21.0
13/08/2020 09:01:01,69.0,21.0
13/08/2020 09:01:07,68.0,21.0
13/08/2020 09:01:12,69.0,21.0
13/08/2020 09:01:18,68.0,21.0
13/08/2020 09:01:23,68.0,21.0
13/08/2020 09:01:29,68.0,21.0
13/08/2020 09:01:35,68.0,21.0
13/08/2020 09:01:43,68.0,21.0
13/08/2020 09:01:48,74.0,21.0
13/08/2020 09:01:56,68.0,21.0
13/08/2020 09:02:02,74.0,21.0
13/08/2020 09:02:07,68.0,21.0
13/08/2020 09:02:13,68.0,21.0
13/08/2020 09:02:18,68.0,21.0
13/08/2020 09:02:24,68.0,21.0
13/08/2020 09:02:29,68.0,21.0
13/08/2020 09:02:35,68.0,21.0
13/08/2020 09:02:40,68.0,21.0
13/08/2020 09:02:46,68.0,21.0
13/08/2020 09:02:51,68.0,21.0
13/08/2020 09:02:57,68.0,21.0
13/08/2020 09:03:03,68.0,21.0
13/08/2020 09:03:08,68.0,21.0
13/08/2020 09:03:14,69.0,21.0
13/08/2020 09:03:19,68.0,21.0
13/08/2020 09:03:27,68.0,21.0
13/08/2020 09:03:33,74.0,21.0
13/08/2020 09:03:38,68.0,21.0
13/08/2020 09:03:44,69.0,21.0
13/08/2020 09:03:49,68.0,21.0
13/08/2020 09:03:55,68.0,21.0
13/08/2020 09:04:00,68.0,21.0
13/08/2020 09:04:06,68.0,21.0
13/08/2020 09:04:11,68.0,21.0
13/08/2020 09:04:22,74.0,21.0
13/08/2020 09:04:28,74.0,21.0
13/08/2020 09:04:33,69.0,21.0
13/08/2020 09:04:39,68.0,21.0
13/08/2020 09:04:44,68.0,21.0
13/08/2020 09:04:50,68.0,21.0
