quantidade_pedido;data_pedido
1.0;2015-10-17 01:11:21
1.0;2015-10-17 01:12:59
1.0;2015-10-17 01:13:06
0.0;2015-10-17 01:17:34
0.0;2014-09-07 10:45:54
0.0;2014-09-07 10:47:53
0.0;2014-09-07 10:49:13
2.0;2014-09-07 12:40:24
2.0;2014-09-07 12:40:26
4.0;2014-09-07 12:40:27
1.0;2014-09-07 12:40:28
4.0;2014-09-07 12:40:29
2.0;2014-09-07 12:40:30
2.0;2014-09-07 12:40:31
3.0;2014-09-07 12:40:32
1.0;2014-09-07 12:40:33
1.0;2014-09-07 12:40:34
3.0;2014-09-07 12:40:35
6.0;2014-09-07 12:40:36
4.0;2014-09-07 12:40:37
2.0;2014-09-07 12:40:38
2.0;2014-09-07 12:40:39
0.0;2014-09-07 12:40:39
2.0;2014-09-07 12:40:41
2.0;2014-09-07 12:40:42
1.0;2014-09-07 12:40:43
2.0;2014-09-07 12:40:44
0.0;2014-09-07 12:40:45
0.0;2014-09-07 13:23:07
0.0;2014-09-07 13:23:09
0.0;2014-09-07 13:35:49
0.0;2014-09-07 14:25:04
0.0;2014-09-07 14:26:54
0.0;2014-09-07 14:54:37
0.0;2014-09-07 15:31:01
1.0;2014-09-07 16:51:30
1.0;2014-09-07 17:14:04
1.0;2014-09-07 17:27:36
0.0;2014-09-07 18:06:03
0.0;2014-09-07 18:32:36
1.0;2014-09-07 18:39:17
0.0;2014-09-07 18:41:24
0.0;2014-09-07 18:47:28
1.0;2014-09-08 11:03:44
0.0;2014-09-08 11:04:16
0.0;2014-09-08 11:05:20
3.0;2014-09-08 11:05:23
1.0;2014-09-08 11:06:39
0.0;2014-09-08 11:07:04
0.0;2014-09-08 11:08:08
1.0;2014-09-08 11:10:06
0.0;2014-09-08 11:10:23
1.0;2014-09-08 11:13:13
0.0;2014-09-08 11:13:36
0.0;2014-09-08 11:14:05
1.0;2014-09-08 11:14:22
5.0;2014-09-08 11:14:34
1.0;2014-09-08 11:14:35
1.0;2014-09-08 11:14:48
1.0;2014-09-08 11:27:58
0.0;2014-09-08 11:28:02
1.0;2014-09-08 11:28:08
1.0;2014-09-08 11:29:07
0.0;2014-09-08 11:29:43
1.0;2014-09-08 11:29:59
0.0;2014-09-08 11:30:01
1.0;2014-09-08 11:30:10
2.0;2014-09-08 11:30:12
3.0;2014-09-08 11:30:25
2.0;2014-09-08 11:30:48
2.0;2014-09-08 11:30:51
0.0;2014-09-08 14:19:54
3.0;2014-09-08 14:20:27
0.0;2014-09-08 14:20:58
0.0;2014-09-08 14:22:54
0.0;2014-09-08 14:23:01
4.0;2014-09-08 14:23:36
0.0;2014-09-08 14:36:23
0.0;2014-09-08 14:36:50
0.0;2014-09-08 14:36:57
0.0;2014-09-08 14:37:21
1.0;2014-09-08 14:38:30
0.0;2014-09-08 14:38:45
1.0;2014-09-08 14:40:49
0.0;2014-09-08 14:42:57
1.0;2014-09-08 14:43:06
0.0;2014-09-08 14:43:16
0.0;2014-09-08 14:44:48
1.0;2014-09-08 15:05:21
1.0;2014-09-08 15:05:44
0.0;2014-09-08 15:06:18
1.0;2014-09-08 15:09:34
1.0;2014-09-08 15:09:49
0.0;2014-09-08 15:11:47
2.0;2014-09-08 15:11:51
0.0;2014-09-08 15:11:54
0.0;2014-09-08 15:11:56
0.0;2014-09-08 15:12:31
0.0;2014-09-08 15:12:31
0.0;2014-09-08 15:12:33
0.0;2014-09-08 15:12:34
0.0;2014-09-08 15:46:01
0.0;2014-09-08 15:46:20
0.0;2014-09-08 15:47:24
1.0;2014-09-08 15:48:16
1.0;2014-09-08 15:48:31
1.0;2014-09-08 15:49:19
2.0;2014-09-08 15:49:40
0.0;2014-09-08 15:49:53
0.0;2014-09-08 15:50:00
0.0;2014-09-08 15:50:02
2.0;2014-09-08 16:00:09
0.0;2014-09-08 16:00:22
0.0;2014-09-08 16:00:22
0.0;2014-09-08 16:00:31
0.0;2014-09-08 16:00:42
1.0;2014-09-08 16:01:11
2.0;2014-09-08 16:01:36
0.0;2014-09-08 16:01:36
0.0;2014-09-08 16:01:36
2.0;2014-09-08 16:02:00
0.0;2014-09-08 16:02:27
0.0;2014-09-08 16:03:21
0.0;2014-09-08 16:03:33
0.0;2014-09-08 16:07:06
0.0;2014-09-08 16:07:06
0.0;2014-09-08 16:07:08
0.0;2014-09-08 16:07:22
0.0;2014-09-08 16:07:22
0.0;2014-09-08 16:07:22
1.0;2014-09-08 16:07:36
1.0;2014-09-09 07:38:20
0.0;2014-09-09 07:41:13
0.0;2014-09-09 07:41:18
1.0;2014-09-09 07:43:36
1.0;2014-09-09 07:45:20
0.0;2014-09-09 07:45:59
0.0;2014-09-09 07:52:38
0.0;2014-09-09 07:52:39
0.0;2014-09-09 07:52:43
1.0;2014-09-09 07:54:41
0.0;2014-09-09 07:55:09
0.0;2014-09-09 07:55:12
1.0;2014-09-09 07:57:41
1.0;2014-09-09 07:58:52
1.0;2014-09-09 08:05:56
0.0;2014-09-09 08:08:28
0.0;2014-09-09 08:10:27
1.0;2014-09-09 08:10:37
0.0;2014-09-09 08:17:35
1.0;2014-09-09 08:18:08
0.0;2014-09-09 08:25:13
0.0;2014-09-09 08:25:52
0.0;2014-09-09 08:29:18
0.0;2014-09-09 08:31:01
2.0;2014-09-09 08:31:02
2.0;2014-09-09 08:31:02
0.0;2014-09-09 08:31:48
0.0;2014-09-09 08:33:51
0.0;2014-09-09 08:38:52
0.0;2014-09-09 08:39:47
1.0;2014-09-09 08:40:12
0.0;2014-09-09 08:44:33
3.0;2014-09-09 08:46:36
0.0;2014-09-09 08:46:37
3.0;2014-09-09 08:47:03
0.0;2014-09-09 08:48:08
0.0;2014-09-09 11:13:33
